pais;nacionalidad
TAIWAN;TAIWANESA
TANZANIA;TANZANA
TAYIKISTAN;TAYIKA
TERRITORIO BRITANICO DEL OCEANO INDICO;
TERRITORIOS AUSTRALES FRANCESES;
TIMOR ORIENTAL;
TOGO;TOGOLESA
TOKELAU;
TONGA;TONGANA
TRANSKEI;TRANSKEINA
TRINIDAD Y TOBAGO;TRINITENSE
TUNEZ;TUNECINA
TURKMENISTAN;TURCOMANA
TURQUIA;TURCA
TUVALU;TUVALUANA
UCRANIA;UCRANIANA
UGANDA;UGANDES
UNION EUROPEA;
URUGUAY;URUGUAYA
UZBEKISTAN;UZBEKA
VANUATU;VUNUATENSE
VENEZUELA;VENEZOLANA
VIETNAM;VIETNAMITA
WAKE ISLAND;
WALLIS Y FUTUNA;
WEST BANK;
YEMEN;YEMENI
YIBUTI;YIBUTIANA
YUGOSLAVIA;YUGOSLAVA
ZAIRE;ZAIRENO
ZAMBIA;ZAMBIANA
ZIMBABUE;ZIMBABUENSE
